Запрос: Рестарт                                        | Паттерн: Аргументы:                      | Условие: restart
Запрос: Фильтр по полу "включить"                      | Паттерн: Аргументы: SexArgument: 1       | Условие: include OR (exclude AND except)
Запрос: Фильтр по полу "исключить"                     | Паттерн: Аргументы: SexArgument: 1       | Условие: exclude AND NOT except
Запрос: Фильтр по возрасту в диапазоне                 | Паттерн: Аргументы: NumArgument: 2       | Условие: range OR (older AND younger)
Запрос: Фильтр по возрасту "включить"                  | Паттерн: Аргументы: NumArgument: 1       | Условие: (older OR younger)
Запрос: Фильтр по возрасту "исключить"                 | Паттерн: Аргументы: NumArgument: 1       | Условие: exclude AND (older OR younger)
Запрос: Фильтр по количеству выводимых результатов     | Паттерн: Аргументы: NumArgument: 1       | Условие: (show OR restrict) OR (po AND (result OR artist OR line))
Запрос: Фильтр по количеству участников коллектива     | Паттерн: Аргументы:                      | Условие: group OR solo OR duet
Запрос: Удалить все фильтры                            | Паттерн: Аргументы:                      | Условие: exclude AND (filter OR restrict)
Запрос: Удалить ограничение количества выводимых строк | Паттерн: Аргументы:                      | Условие: (exclude AND number) OR ((show OR include) AND all)
Запрос: Лайк                                           | Паттерн: Аргументы: ArtistArgument: ALL  | Условие: dislike AND exclude
Запрос: Дизлайк                                        | Паттерн: Аргументы: ArtistArgument: ALL  | Условие: like AND exclude
Запрос: Лайк                                           | Паттерн: Аргументы: ArtistArgument: ALL  | Условие: like
Запрос: Дизлайк                                        | Паттерн: Аргументы: ArtistArgument: ALL  | Условие: dislike
Запрос: Количество артистов указанного пола в базе     | Паттерн: Аргументы: SexArgument: 1       | Условие: number OR how many
Запрос: Количество артистов от X до Y лет в базе       | Паттерн: Аргументы: NumArgument: 2       | Условие: (number OR how many) AND (range OR (older AND younger))
Запрос: Количество артистов указанного возраста в базе | Паттерн: Аргументы: NumArgument: 1       | Условие: (number OR how many) AND (older OR younger)
Запрос: Количество артистов в базе                     | Паттерн: Аргументы:                      | Условие: number OR how many
Запрос: Вывести исполнителей указанного пола           | Паттерн: Аргументы: SexArgument: 1       | Условие: artist OR recommend OR show
Запрос: Вывести исполнителей в диапазоне возраста      | Паттерн: Аргументы: NumArgument: 2       | Условие: (artist OR recommend OR show) AND (range OR (older AND younger))
Запрос: Вывести исполнителей в указанном возрасте      | Паттерн: Аргументы: NumArgument: 1       | Условие: (artist OR recommend OR show) AND (older OR younger)
Запрос: Вывести артистов в определённом жанре          | Паттерн: Аргументы: GenreArgument: 1     | Условие: genre OR recommend OR show
Запрос: Рекомендация по артисту                        | Паттерн: Аргументы: ArtistArgument: 1    | Условие: search OR like/how OR recommend OR show
Запрос: Рекомендация по интересам                      | Паттерн: Аргументы:                      | Условие: ((search OR recommend OR show OR artist) AND (to me OR like)) OR (to me AND like)
Запрос: Вывести всех артистов в базе                   | Паттерн: Аргументы:                      | Условие: (all OR like/how) AND NOT genre AND (include OR artist OR show)
Запрос: Вывести все жанры в базе                       | Паттерн: Аргументы:                      | Условие: (all OR like/how) AND (include OR genre OR show)
Запрос: Изменить количество выводимых результатов      | Паттерн: Аргументы: NumArgument: 1       | Условие: (show OR restrict) OR (po AND (result OR artist OR line)) AND (NOT range AND NOT older AND NOT younger)
Запрос: Информация об артисте                          | Паттерн: Аргументы: ArtistArgument: 1    | Условие: talk about OR about OR info
Запрос: Информация о боте                              | Паттерн: Аргументы:                      | Условие: you OR who AND NOT opportunities
Запрос: Информация о возможностях бота                 | Паттерн: Аргументы:                      | Условие: opportunities
Запрос: Информация об устройстве бота                  | Паттерн: Аргументы:                      | Условие: (talk about OR like/how) AND you AND algorithm
